date,house_price_idx,house_price_idx_pct,kr_cpi,kr_unemployment,kr_base_rate,kr_mortgage_rate,kospi200,apt_trade_count,kr_m2
2015-08,89.475198630586,0.3549368877987957,95.213,3.6,1.5,2.94,234.4800003051758,62424.0,2058804.8
2015-09,89.8692576159159,0.4404114116101087,94.966,3.5,1.5,2.92,233.92049713134764,56434.0,2069757.1
2015-10,90.2699099325811,0.445816875863736,94.966,3.5,1.5,2.9,246.029046194894,70140.0,2076050.9
2015-11,90.6383691701758,0.4081750362550318,94.786,3.6,1.5,3.04,246.65619041806173,64841.0,2084185.5
2015-12,90.8252791478088,0.206215071325988,95.07,3.5,1.5,3.12,242.59571329752603,55874.0,2094647.7
2016-01,90.8468042410116,0.023699451743786,95.232,3.6,1.5,3.1,230.69050064086915,39695.0,2112089.3
2016-02,90.8348007969561,-0.0132128412834942,95.64,3.8,1.5,2.99,232.4227786593967,38225.0,2129784.1
2016-03,90.8033351984327,-0.0346404662610932,95.393,3.7,1.5,2.97,242.6461908249628,49179.0,2136613.8
2016-04,90.8013831098205,-0.002149798361406,95.573,3.6,1.5,2.93,245.66450119018555,54884.0,2145385.9
2016-05,90.8210488796929,0.021658006958547,95.63,3.5,1.5,2.89,241.43200073242187,56369.0,2163643.3
2016-06,90.8584349917946,0.0411645896660095,95.611,3.6,1.25,2.77,244.36809648786272,59252.0,2178064.5
2016-07,90.9013972370081,0.0472848175487206,95.431,3.6,1.25,2.66,248.9623812720889,63906.0,2193889.4
2016-08,90.9715756326762,0.0772027689355914,95.677,3.9,1.25,2.7,255.4568169333718,64462.0,2212930.6
2016-09,91.0604074982333,0.0976479355659254,96.247,3.9,1.25,2.8,257.3278929057874,61599.0,2215033.9
2016-10,91.2750176296722,0.2356788612472016,96.379,3.8,1.25,2.89,257.5890007019043,74208.0,2232353.3
2016-11,91.4734422426682,0.2173920292199316,96.237,3.7,1.25,3.04,252.3309097290039,68816.0,2255845.8
2016-12,91.5180600137358,0.0487767487193036,96.342,3.5,1.25,3.13,259.7570007324219,58496.0,2265136.6
2017-01,91.5256045557124,0.0082437739343133,97.366,3.5,1.25,3.16,266.3531574450041,38086.0,2274550.6
2017-02,91.5164415361642,-0.0100114275045637,97.632,3.9,1.25,3.19,269.4854995727539,40436.0,2282605.6
2017-03,91.5479694273252,0.0344505212744206,97.565,3.6,1.25,3.21,277.825908314098,48470.0,2294876.9
2017-04,91.6040352838744,0.0612420536467483,97.442,3.8,1.25,3.21,280.4789460834704,46811.0,2310909.5
2017-05,91.7009085786175,0.1057522132544619,97.546,3.5,1.25,3.26,300.1189446700247,53387.0,2321693.3
2017-06,91.9012605350596,0.2184841563160011,97.338,3.7,1.25,3.22,308.59666515531995,64444.0,2324589.3
2017-07,92.040612493142,0.1516322597438613,97.499,3.6,1.25,3.28,316.134761265346,65605.0,2339181.8
2017-08,92.2585180302544,0.2367493340275528,98.058,4.0,1.25,3.28,310.14454512162644,64300.0,2354321.9
2017-09,92.3052674627605,0.0506722127172842,98.172,3.7,1.25,3.24,312.35157856188323,54953.0,2357905.7
2017-10,92.3702871397286,0.0704398337769252,98.077,3.7,1.25,3.33,328.2531261444092,40079.0,2377964.0
2017-11,92.4311266971044,0.0658648568275799,97.347,3.7,1.5,3.39,334.4163624156605,48291.0,2393249.7
2017-12,92.5086221561029,0.0838413008341421,97.698,3.6,1.5,3.42,324.4683312310113,46292.0,2404905.7
2018-01,92.6426008169824,0.1448282957381197,98.106,3.4,1.5,3.47,329.8118161288175,47525.0,2416728.8
2018-02,92.8315141235266,0.2039162381865855,98.855,3.7,1.5,3.46,315.6622195773655,49366.0,2433495.6
2018-03,92.9230348664083,0.098588010489542,98.751,4.0,1.5,3.45,316.62952677408856,62050.0,2437719.2
2018-04,92.8997096961874,-0.0251016018304128,98.931,3.8,1.5,3.47,315.5057155064174,46368.0,2444524.3
2018-05,92.7616359325904,-0.1486266900602273,98.979,3.8,1.5,3.49,316.48450164794923,41989.0,2455881.4
2018-06,92.6191159648742,-0.1536410675419319,98.779,3.6,1.5,3.46,308.009476511102,40367.0,2459364.0
2018-07,92.4867270626482,-0.1429390691617071,98.59,3.8,1.5,3.44,295.45909257368606,39353.0,2472679.0
2018-08,92.3909502053472,-0.1035574080117784,99.462,4.6,1.5,3.36,294.538178877397,42894.0,2488391.7
2018-09,92.6722152535205,0.3044292190395037,100.221,4.1,1.5,3.29,296.3252958409926,53754.0,2486251.4
2018-10,92.7919665682796,0.1292203002070335,100.041,4.0,1.5,3.31,278.17476254417784,64559.0,2508905.0
2018-11,92.7647092821996,-0.0293746183943066,99.33,3.9,1.75,3.28,270.4300009987571,41663.0,2517948.1
2018-12,92.5931285572767,-0.184963361876056,98.988,3.7,1.75,3.19,266.6610525030839,33584.0,2524352.2
2019-01,92.3249379102541,-0.2896442222024009,98.884,3.9,1.75,3.12,270.8777292424982,31305.0,2550186.4
2019-02,92.0902224846332,-0.254227547760788,99.311,3.8,1.75,3.08,286.00941198012407,28293.0,2552413.4
2019-03,91.8031408457587,-0.3117395431663783,99.121,3.8,1.75,3.04,278.5445037841797,31760.0,2570410.5
2019-04,91.4286849402703,-0.4078900809260322,99.481,4.0,1.75,2.98,285.9672740589489,35893.0,2582127.4
