class,feature_kr,feature_value,shap_value
인상,미국 연방기금금리 변화율,-0.21,-0.023218375
인상,미국 연방기금금리 변화율,-0.16,-0.02289311
인상,미국 연방기금금리 변화율,-0.08,-0.020247184
인상,미국 연방기금금리 변화율,0.0,-0.019300437
인상,미국 연방기금금리 변화율,0.0,-0.053988762
인상,미국 연방기금금리 변화율,0.0,-0.059666425
인상,미국 연방기금금리 변화율,-1.8281,-0.044056103
인상,WTI 유가 3개월평균,64.65,-0.019505553
인상,WTI 유가 3개월평균,64.6267,-0.019882724
인상,WTI 유가 3개월평균,66.2433,-0.019441787
인상,WTI 유가 3개월평균,67.14,-0.018506767
인상,WTI 유가 3개월평균,65.7367,-0.019397344
인상,WTI 유가 3개월평균,63.2367,-0.019640416
인상,WTI 유가 3개월평균,61.6367,-0.019369222
인상,WTI 유가 3개월평균,59.64,-0.019397344
인상,WTI 유가 3개월평균,59.3567,-0.018875621
인상,WTI 유가 3개월평균,60.84,-0.01863255
인상,WTI 유가 3개월평균,71.9767,0.03283059
인상,WTI 유가 3개월평균,85.4033,-0.0020842492
인상,WTI 유가 3개월평균,86.6872,0.007266757
