feature_kr,feature_value,shap_value
S&P500-KOSPI200 스프레드,-0.002605,0.016695095
S&P500-KOSPI200 스프레드,0.010688,0.047462795
S&P500-KOSPI200 스프레드,-0.016144,-0.13719033
S&P500-KOSPI200 스프레드,0.02115,0.03512366
S&P500-KOSPI200 스프레드,-0.001125,0.03780876
S&P500-KOSPI200 스프레드,0.002657,0.02373378
S&P500-KOSPI200 스프레드,-0.004416,0.01763391
S&P500-KOSPI200 스프레드,-0.001304,0.028917572
S&P500-KOSPI200 스프레드,0.005996,0.02654904
S&P500-KOSPI200 스프레드,0.021342,0.041999523
S&P500-KOSPI200 스프레드,-0.006323,0.013939564
S&P500-KOSPI200 스프레드,-0.015315,-0.1446582
S&P500-KOSPI200 스프레드,0.0144,0.049899872
S&P500-KOSPI200 스프레드,0.003172,0.039789915
S&P500-KOSPI200 스프레드,-0.011293,-0.17582284
S&P500-KOSPI200 스프레드,0.005232,0.040972147
S&P500-KOSPI200 스프레드,0.000802,0.04260761
S&P500-KOSPI200 스프레드,-0.013825,-0.11394479
S&P500-KOSPI200 스프레드,0.022008,0.033269435
S&P500-KOSPI200 스프레드,0.061249,0.051643517
S&P500-KOSPI200 스프레드,-0.019387,-0.18508685
S&P500-KOSPI200 스프레드,-0.029272,-0.20236003
S&P500-KOSPI200 스프레드,0.029889,0.06927881
S&P500-KOSPI200 스프레드,-0.009231,-0.14706671
S&P500-KOSPI200 스프레드,-0.011592,-0.12921862
S&P500-KOSPI200 스프레드,0.012883,0.049232274
S&P500-KOSPI200 스프레드,-0.005615,0.009411844
S&P500-KOSPI200 스프레드,0.016133,0.030461965
S&P500-KOSPI200 스프레드,-0.022206,-0.18161303
S&P500-KOSPI200 스프레드,0.019448,0.039661456
S&P500-KOSPI200 스프레드,-0.011478,-0.09967808
S&P500-KOSPI200 스프레드,0.006326,0.029869452
S&P500-KOSPI200 스프레드,-0.011323,-0.13384469
S&P500-KOSPI200 스프레드,0.014707,0.049264956
S&P500-KOSPI200 스프레드,0.001195,0.059803396
S&P500-KOSPI200 스프레드,0.006373,0.03627843
S&P500-KOSPI200 스프레드,-0.007951,0.011804262
S&P500-KOSPI200 스프레드,0.014142,0.034903847
S&P500-KOSPI200 스프레드,0.006066,0.07137445
S&P500-KOSPI200 스프레드,-0.013545,-0.12495473
S&P500-KOSPI200 스프레드,0.032233,0.06261007
S&P500-KOSPI200 스프레드,-0.000883,0.054096855
S&P500-KOSPI200 스프레드,-0.006998,0.011959408
S&P500-KOSPI200 스프레드,0.017977,0.044316225
S&P500-KOSPI200 스프레드,0.00947,0.06320079
S&P500-KOSPI200 스프레드,0.019026,0.04047965
S&P500-KOSPI200 스프레드,-0.016935,-0.12809639
S&P500-KOSPI200 스프레드,0.005873,0.04370452
S&P500-KOSPI200 스프레드,0.001257,0.048040763
S&P500-KOSPI200 스프레드,0.000265,0.043049287
S&P500-KOSPI200 스프레드,-0.002896,-0.0029845126
S&P500-KOSPI200 스프레드,0.01817,0.047509074
S&P500-KOSPI200 스프레드,-0.00599,-0.001859135
S&P500-KOSPI200 스프레드,-0.000411,0.040205143
S&P500-KOSPI200 스프레드,-0.008565,-0.040583037
S&P500-KOSPI200 스프레드,0.012583,0.034612313
S&P500-KOSPI200 스프레드,-0.03044,-0.1093496
S&P500-KOSPI200 스프레드,0.005789,0.0328613
S&P500-KOSPI200 스프레드,0.030146,0.04152731
S&P500-KOSPI200 스프레드,-0.009324,-0.17998487
S&P500-KOSPI200 스프레드,0.011857,0.045626055
S&P500-KOSPI200 스프레드,-0.001681,0.034342438
S&P500-KOSPI200 스프레드,0.005977,0.060181487
S&P500-KOSPI200 스프레드,-0.025973,-0.15570532
S&P500-KOSPI200 스프레드,0.018643,0.070763215
S&P500-KOSPI200 스프레드,0.007113,0.055716045
S&P500-KOSPI200 스프레드,-0.004917,0.028519968
S&P500-KOSPI200 스프레드,0.005357,0.05938312
S&P500-KOSPI200 스프레드,-0.004711,0.020577557
S&P500-KOSPI200 스프레드,-0.011412,-0.11486467
S&P500-KOSPI200 스프레드,0.015532,0.052120805
S&P500-KOSPI200 스프레드,-0.001525,0.03778574
S&P500-KOSPI200 스프레드,0.010615,0.031548966
S&P500-KOSPI200 스프레드,-0.005297,0.021610951
S&P500-KOSPI200 스프레드,0.012594,0.035320587
S&P500-KOSPI200 스프레드,-0.02141,-0.11967242
S&P500-KOSPI200 스프레드,0.011936,0.028299237
S&P500-KOSPI200 스프레드,-0.001729,0.053559463
S&P500-KOSPI200 스프레드,-0.008707,-0.09955562
S&P500-KOSPI200 스프레드,-0.001294,0.0348401
S&P500-KOSPI200 스프레드,0.006117,0.03036374
S&P500-KOSPI200 스프레드,-0.002151,0.003173347
S&P500-KOSPI200 스프레드,0.009486,0.042016733
S&P500-KOSPI200 스프레드,-0.020916,-0.1875383
S&P500-KOSPI200 스프레드,0.018465,0.053671125
S&P500-KOSPI200 스프레드,0.027814,0.054060534
S&P500-KOSPI200 스프레드,0.006668,0.05555801
S&P500-KOSPI200 스프레드,0.00716,0.069251165
S&P500-KOSPI200 스프레드,0.015894,0.059086576
S&P500-KOSPI200 스프레드,0.019011,0.05363475
S&P500-KOSPI200 스프레드,0.02611,0.060402434
S&P500-KOSPI200 스프레드,-0.002474,0.025436936
S&P500-KOSPI200 스프레드,-0.022111,-0.16081245
S&P500-KOSPI200 스프레드,-0.02076,-0.1815188
S&P500-KOSPI200 스프레드,0.004968,0.043710977
S&P500-KOSPI200 스프레드,-0.002751,0.02204784
S&P500-KOSPI200 스프레드,0.003912,0.042118236
S&P500-KOSPI200 스프레드,-0.005242,0.017306581
S&P500-KOSPI200 스프레드,-0.009827,-0.110088386
S&P500-KOSPI200 스프레드,0.008782,0.03238813
S&P500-KOSPI200 스프레드,0.005972,0.055646576
S&P500-KOSPI200 스프레드,0.026281,0.046047885
S&P500-KOSPI200 스프레드,0.002786,0.038275633
S&P500-KOSPI200 스프레드,-0.018298,-0.14939271
S&P500-KOSPI200 스프레드,0.020684,0.07037745
S&P500-KOSPI200 스프레드,0.006459,0.04958498
S&P500-KOSPI200 스프레드,0.008053,0.04137105
S&P500-KOSPI200 스프레드,0.01972,0.06054825
S&P500-KOSPI200 스프레드,-0.025435,-0.12990965
S&P500-KOSPI200 스프레드,-0.001404,0.029867418
S&P500-KOSPI200 스프레드,-0.021409,-0.14342979
S&P500-KOSPI200 스프레드,-0.004433,0.018928893
S&P500-KOSPI200 스프레드,0.006462,0.076767094
S&P500-KOSPI200 스프레드,0.009364,0.045788474
S&P500-KOSPI200 스프레드,-0.043236,-0.17304988
S&P500-KOSPI200 스프레드,0.021396,0.069122374
S&P500-KOSPI200 스프레드,0.023432,0.060968004
S&P500-KOSPI200 스프레드,-0.00732,0.028028918
S&P500-KOSPI200 스프레드,0.009773,0.051508795
S&P500-KOSPI200 스프레드,0.005593,0.06846018
S&P500-KOSPI200 스프레드,-0.003527,0.008498378
S&P500-KOSPI200 스프레드,-0.006909,0.016351825
S&P500-KOSPI200 스프레드,-0.004285,0.030488826
S&P500-KOSPI200 스프레드,-0.002067,0.0106258625
S&P500-KOSPI200 스프레드,-0.007009,0.02194511
S&P500-KOSPI200 스프레드,-0.017672,-0.11163225
S&P500-KOSPI200 스프레드,-0.009204,-0.19172376
S&P500-KOSPI200 스프레드,-0.01071,-0.16989236
S&P500-KOSPI200 스프레드,-0.001343,0.044986166
S&P500-KOSPI200 스프레드,-0.012877,-0.11627862
S&P500-KOSPI200 스프레드,0.014249,0.044876624
S&P500-KOSPI200 스프레드,-0.000156,0.04716191
S&P500-KOSPI200 스프레드,0.017617,0.050480276
S&P500-KOSPI200 스프레드,-0.016495,-0.1247925
S&P500-KOSPI200 스프레드,0.011897,0.03139602
S&P500-KOSPI200 스프레드,0.010708,0.031462666
S&P500-KOSPI200 스프레드,-0.006779,0.017741973
S&P500-KOSPI200 스프레드,0.017889,0.032795865
