date_ymd,actual,predict,proba_down,proba_up,top5_factors
2025-07-21,하락/보합,상승,0.4530442103913542,0.5469557896086452,"↑ 한국 소비자물가지수: 값=116.5200, SHAP=+0.0631 | ↑ S&P 500 지수: 값=6305.6000, SHAP=+0.0566 | ↑ 달러 인덱스: 값=120.0000, SHAP=+0.0446 | ↓ VIX 변동성 지수: 값=16.6500, SHAP=-0.0288 | ↑ 금값 변동성(20일표준편차): 값=0.0086, SHAP=+0.0163"
2025-07-22,하락/보합,상승,0.45599507330106065,0.544004926698939,"↑ S&P 500 지수: 값=6309.6200, SHAP=+0.0554 | ↑ 한국 소비자물가지수: 값=116.5200, SHAP=+0.0543 | ↑ 달러 인덱스: 값=119.6800, SHAP=+0.0447 | ↓ VIX 변동성 지수: 값=16.5000, SHAP=-0.0297 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0018, SHAP=-0.0188"
2025-07-23,하락/보합,상승,0.46133880416245115,0.5386611958375483,"↑ 한국 소비자물가지수: 값=116.5200, SHAP=+0.0558 | ↑ S&P 500 지수: 값=6358.9100, SHAP=+0.0492 | ↑ 달러 인덱스: 값=119.5700, SHAP=+0.0447 | ↓ VIX 변동성 지수: 값=15.3700, SHAP=-0.0280 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0010, SHAP=-0.0178"
2025-07-24,하락/보합,상승,0.4721155770471472,0.5278844229528522,"↑ 한국 소비자물가지수: 값=116.5200, SHAP=+0.0453 | ↑ 달러 인덱스: 값=119.5700, SHAP=+0.0426 | ↑ S&P 500 지수: 값=6363.3500, SHAP=+0.0330 | ↓ VIX 변동성 지수: 값=15.3900, SHAP=-0.0276 | ↓ 금값 변화율 EMA(20일) 2일전: 값=0.0027, SHAP=-0.0220"
2025-07-25,하락/보합,상승,0.46867463950668126,0.5313253604933182,"↑ 한국 소비자물가지수: 값=116.5200, SHAP=+0.0502 | ↑ S&P 500 지수: 값=6388.6400, SHAP=+0.0473 | ↑ 달러 인덱스: 값=119.9900, SHAP=+0.0443 | ↓ VIX 변동성 지수: 값=14.9300, SHAP=-0.0259 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0009, SHAP=-0.0188"
2025-08-07,하락/보합,상승,0.45112088920949406,0.5488791107905054,"↑ S&P 500 지수: 값=6340.0000, SHAP=+0.0594 | ↑ 한국 소비자물가지수: 값=116.4500, SHAP=+0.0505 | ↑ 달러 인덱스: 값=120.5000, SHAP=+0.0446 | ↓ VIX 변동성 지수: 값=16.5700, SHAP=-0.0292 | ↑ 금값 변동성(20일표준편차): 값=0.0086, SHAP=+0.0168"
2025-08-08,하락/보합,상승,0.45198872106199944,0.5480112789380001,"↑ S&P 500 지수: 값=6389.4500, SHAP=+0.0555 | ↑ 한국 소비자물가지수: 값=116.4500, SHAP=+0.0538 | ↑ 달러 인덱스: 값=120.3300, SHAP=+0.0448 | ↓ VIX 변동성 지수: 값=15.1500, SHAP=-0.0261 | ↑ 금값 변동성(20일표준편차): 값=0.0086, SHAP=+0.0169"
2025-08-11,하락/보합,상승,0.45956948652682456,0.540430513473175,"↑ 한국 소비자물가지수: 값=116.4500, SHAP=+0.0670 | ↑ S&P 500 지수: 값=6373.4500, SHAP=+0.0522 | ↑ 달러 인덱스: 값=120.6900, SHAP=+0.0446 | ↓ VIX 변동성 지수: 값=16.2500, SHAP=-0.0287 | ↓ 국제 금 선물 가격: 값=3353.1000, SHAP=-0.0141"
2025-08-12,하락/보합,상승,0.4765455401890338,0.5234544598109657,"↑ 달러 인덱스: 값=120.2700, SHAP=+0.0447 | ↑ S&P 500 지수: 값=6445.7600, SHAP=+0.0418 | ↑ 한국 소비자물가지수: 값=116.4500, SHAP=+0.0375 | ↓ VIX 변동성 지수: 값=14.7300, SHAP=-0.0260 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0003, SHAP=-0.0195"
2025-08-13,하락/보합,상승,0.4645106829275223,0.5354893170724772,"↑ 한국 소비자물가지수: 값=116.4500, SHAP=+0.0491 | ↑ S&P 500 지수: 값=6466.5800, SHAP=+0.0475 | ↑ 달러 인덱스: 값=120.1300, SHAP=+0.0438 | ↓ VIX 변동성 지수: 값=14.4900, SHAP=-0.0258 | ↓ 국제 금 선물 가격: 값=3358.7000, SHAP=-0.0131"
2025-08-14,하락/보합,상승,0.4687748725069216,0.5312251274930778,"↑ 한국 소비자물가지수: 값=116.4500, SHAP=+0.0539 | ↑ S&P 500 지수: 값=6468.5400, SHAP=+0.0536 | ↑ 달러 인덱스: 값=120.6400, SHAP=+0.0448 | ↓ VIX 변동성 지수: 값=14.8300, SHAP=-0.0264 | ↑ 금값 RSI(14일) 3일전: 값=39.9021, SHAP=+0.0167"
2025-09-05,상승,하락/보합,0.5063666047991237,0.49363338526676864,"↑ 달러 인덱스: 값=120.1300, SHAP=+0.0396 | ↑ S&P 500 지수: 값=6481.5000, SHAP=+0.0331 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0031, SHAP=-0.0258 | ↑ 한국 소비자물가지수: 값=117.0600, SHAP=+0.0252 | ↓ 금값 변화율 EMA(20일) 2일전: 값=0.0055, SHAP=-0.0250"
2025-10-09,상승,하락/보합,0.5017966239220418,0.4982033661438503,"↑ 달러 인덱스: 값=121.0900, SHAP=+0.0392 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0041, SHAP=-0.0380 | ↑ S&P 500 지수: 값=6735.1100, SHAP=+0.0340 | ↓ 금값 변화율 EMA(20일) 2일전: 값=0.0057, SHAP=-0.0312 | ↑ 한국 소비자물가지수: 값=117.4200, SHAP=+0.0265"
2025-10-10,상승,하락/보합,0.501068378840887,0.49893162115911266,"↑ VIX 변동성 지수: 값=21.6600, SHAP=+0.0438 | ↑ 달러 인덱스: 값=121.1200, SHAP=+0.0387 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0044, SHAP=-0.0361 | ↑ 한국 소비자물가지수: 값=117.4200, SHAP=+0.0316 | ↓ 금값 변화율 EMA(20일) 2일전: 값=0.0068, SHAP=-0.0309"
2025-10-16,하락/보합,상승,0.49550303968469905,0.5044969603153008,"↓ 금값 변화율 SMA(20일이동평균): 값=0.0082, SHAP=-0.0419 | ↓ 금값 변동성(20일표준편차): 값=0.0125, SHAP=-0.0378 | ↑ 달러 인덱스: 값=120.6700, SHAP=+0.0360 | ↑ 한국 소비자물가지수: 값=117.4200, SHAP=+0.0357 | ↓ 금값 변화율 EMA(20일) 2일전: 값=0.0070, SHAP=-0.0313"
2025-10-17,하락/보합,상승,0.49854310898806836,0.5014568810778238,"↓ 금값 변화율 SMA(20일이동평균): 값=0.0067, SHAP=-0.0491 | ↓ 금값 변동성(20일표준편차): 값=0.0141, SHAP=-0.0429 | ↑ 한국 소비자물가지수: 값=117.4200, SHAP=+0.0409 | ↑ 달러 인덱스: 값=120.7000, SHAP=+0.0360 | ↓ 금값 변화율 EMA(20일) 2일전: 값=0.0072, SHAP=-0.0302"
2025-10-23,하락/보합,상승,0.4952004632398875,0.5047995466942194,"↑ 한국 소비자물가지수: 값=117.4200, SHAP=+0.0480 | ↑ 달러 인덱스: 값=120.9500, SHAP=+0.0403 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0052, SHAP=-0.0390 | ↑ S&P 500 지수: 값=6738.4400, SHAP=+0.0340 | ↓ 금값 변동성(20일표준편차): 값=0.0212, SHAP=-0.0333"
2025-10-24,하락/보합,상승,0.4985984945969655,0.5014014954689264,"↑ 달러 인덱스: 값=120.9300, SHAP=+0.0430 | ↑ S&P 500 지수: 값=6791.6900, SHAP=+0.0417 | ↑ 한국 소비자물가지수: 값=117.4200, SHAP=+0.0396 | ↓ 금값 변동성(20일표준편차): 값=0.0212, SHAP=-0.0353 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0046, SHAP=-0.0335"
2025-10-27,하락/보합,상승,0.48814056215220775,0.5118594378477918,"↑ 달러 인덱스: 값=120.8000, SHAP=+0.0415 | ↑ 한국 소비자물가지수: 값=117.4200, SHAP=+0.0398 | ↑ S&P 500 지수: 값=6875.1600, SHAP=+0.0365 | ↓ 금값 변동성(20일표준편차): 값=0.0224, SHAP=-0.0342 | ↓ VIX 변동성 지수: 값=15.7900, SHAP=-0.0256"
2025-10-29,하락/보합,상승,0.4852438936412841,0.5147560964246077,"↑ 한국 소비자물가지수: 값=117.4200, SHAP=+0.0463 | ↑ 달러 인덱스: 값=120.5300, SHAP=+0.0430 | ↓ 금값 변동성(20일표준편차): 값=0.0225, SHAP=-0.0387 | ↑ S&P 500 지수: 값=6890.5900, SHAP=+0.0329 | ↓ VIX 변동성 지수: 값=16.9200, SHAP=-0.0246"
2025-10-30,하락/보합,상승,0.47349710691023966,0.5265028930897598,"↑ 한국 소비자물가지수: 값=117.4200, SHAP=+0.0492 | ↑ S&P 500 지수: 값=6822.3400, SHAP=+0.0468 | ↑ 달러 인덱스: 값=121.2800, SHAP=+0.0435 | ↓ 금값 변동성(20일표준편차): 값=0.0224, SHAP=-0.0310 | ↓ VIX 변동성 지수: 값=16.9100, SHAP=-0.0219"
2025-10-31,하락/보합,상승,0.47786559583305,0.5221344041669495,"↑ 한국 소비자물가지수: 값=117.4200, SHAP=+0.0576 | ↑ S&P 500 지수: 값=6840.2000, SHAP=+0.0455 | ↑ 달러 인덱스: 값=121.3900, SHAP=+0.0425 | ↓ 금값 변동성(20일표준편차): 값=0.0224, SHAP=-0.0358 | ↓ VIX 변동성 지수: 값=17.4400, SHAP=-0.0223"
2025-11-12,하락/보합,상승,0.4679872276173289,0.5320127723826708,"↑ 한국 소비자물가지수: 값=117.2000, SHAP=+0.0728 | ↑ S&P 500 지수: 값=6850.9200, SHAP=+0.0471 | ↑ 달러 인덱스: 값=121.0500, SHAP=+0.0439 | ↓ 금값 변동성(20일표준편차): 값=0.0214, SHAP=-0.0388 | ↑ 금값 RSI(14일) 3일전: 값=27.1664, SHAP=+0.0281"
2025-11-13,하락/보합,상승,0.4653366031196084,0.5346633968803912,"↑ 한국 소비자물가지수: 값=117.2000, SHAP=+0.0873 | ↑ S&P 500 지수: 값=6737.4900, SHAP=+0.0438 | ↓ 금값 변동성(20일표준편차): 값=0.0206, SHAP=-0.0426 | ↑ 달러 인덱스: 값=120.7700, SHAP=+0.0384 | ↑ 금값 변화율 SMA(20일이동평균): 값=-0.0009, SHAP=+0.0353"
2025-11-14,하락/보합,상승,0.46946497841247053,0.530535021587529,"↑ 한국 소비자물가지수: 값=117.2000, SHAP=+0.0705 | ↓ 금값 변동성(20일표준편차): 값=0.0207, SHAP=-0.0446 | ↑ S&P 500 지수: 값=6734.1100, SHAP=+0.0377 | ↑ 달러 인덱스: 값=120.9700, SHAP=+0.0373 | ↑ 금값 변화율 SMA(20일이동평균): 값=-0.0010, SHAP=+0.0315"
2025-11-28,하락/보합,상승,0.4550932970974027,0.5449067029025968,"↑ S&P 500 지수: 값=6849.0900, SHAP=+0.0477 | ↑ 달러 인덱스: 값=121.0500, SHAP=+0.0473 | ↑ 한국 소비자물가지수: 값=117.2000, SHAP=+0.0471 | ↓ VIX 변동성 지수: 값=16.3500, SHAP=-0.0295 | ↑ 원/달러 환율: 값=1467.6500, SHAP=+0.0209"
2025-12-01,하락/보합,상승,0.464992561095879,0.5350074389041204,"↑ 한국 소비자물가지수: 값=117.5700, SHAP=+0.0532 | ↑ 달러 인덱스: 값=120.9900, SHAP=+0.0468 | ↑ S&P 500 지수: 값=6812.6300, SHAP=+0.0466 | ↓ VIX 변동성 지수: 값=17.2400, SHAP=-0.0289 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0032, SHAP=-0.0281"
2025-12-22,하락/보합,상승,0.48090032492374757,0.519099675076252,"↑ 달러 인덱스: 값=119.9900, SHAP=+0.0440 | ↑ S&P 500 지수: 값=6878.4900, SHAP=+0.0397 | ↑ 한국 소비자물가지수: 값=117.5700, SHAP=+0.0345 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0044, SHAP=-0.0337 | ↓ VIX 변동성 지수: 값=14.0800, SHAP=-0.0251"
2025-12-23,하락/보합,상승,0.4639680344257237,0.5360319655742759,"↑ S&P 500 지수: 값=6909.7900, SHAP=+0.0503 | ↑ 달러 인덱스: 값=119.7100, SHAP=+0.0439 | ↑ 한국 소비자물가지수: 값=117.5700, SHAP=+0.0383 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0046, SHAP=-0.0355 | ↓ VIX 변동성 지수: 값=14.0000, SHAP=-0.0252"
2025-12-24,하락/보합,상승,0.4646758851348096,0.5353241148651896,"↑ S&P 500 지수: 값=6932.0500, SHAP=+0.0553 | ↑ 달러 인덱스: 값=119.4400, SHAP=+0.0426 | ↑ 한국 소비자물가지수: 값=117.5700, SHAP=+0.0375 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0040, SHAP=-0.0356 | ↓ VIX 변동성 지수: 값=13.4700, SHAP=-0.0253"
2025-12-26,하락/보합,상승,0.4744159044636909,0.5255840955363085,"↑ S&P 500 지수: 값=6929.9400, SHAP=+0.0489 | ↑ 달러 인덱스: 값=119.4700, SHAP=+0.0426 | ↓ 금값 변화율 SMA(20일이동평균): 값=0.0042, SHAP=-0.0376 | ↑ 한국 소비자물가지수: 값=117.5700, SHAP=+0.0293 | ↓ VIX 변동성 지수: 값=13.6000, SHAP=-0.0256"
